Brawler_1,Brawler_2,Weight
BERRY,JANET,5
BERRY,JESSIE,7
BERRY,JUJU,6
BERRY,KAZE,8
BERRY,KENJI,12
BERRY,KIT,7
BERRY,LARRY & LAWRIE,7
BERRY,LEON,3
BERRY,LILY,9
BERRY,LOLA,4
BERRY,LOU,5
BERRY,LUMI,10
BERRY,MAISIE,7
BERRY,MANDY,24
BERRY,MAX,14
BERRY,MEEPLE,3
BERRY,MEG,5
BERRY,MELODIE,5
BERRY,MICO,7
BERRY,MOE,1
BERRY,MORTIS,31
BERRY,MR. P,3
BERRY,NANI,6
BERRY,NITA,18
BERRY,OLLIE,1
BERRY,OTIS,1
BERRY,PAM,3
BERRY,PEARL,2
BERRY,PENNY,9
BERRY,PIPER,13
BERRY,POCO,9
BERRY,R-T,14
BERRY,RICO,10
BERRY,ROSA,4
BERRY,RUFFS,1
BERRY,SAM,4
BERRY,SANDY,6
BERRY,SHADE,12
BERRY,SHELLY,12
BERRY,SPIKE,15
BERRY,SPROUT,3
BERRY,SQUEAK,18
BERRY,STU,7
BERRY,SURGE,9
BERRY,TARA,9
BERRY,TICK,28
BERRY,WILLOW,3
BIBI,BO,16
BIBI,BONNIE,15
BIBI,BROCK,23
BIBI,BULL,18
BIBI,BUSTER,3
BIBI,BUZZ,13
BIBI,BYRON,12
BIBI,CARL,21
BIBI,CHARLIE,7
BIBI,CHESTER,4
BIBI,CHUCK,1
BIBI,CLANCY,5
BIBI,COLETTE,14
BIBI,COLT,28
BIBI,CORDELIUS,13
BIBI,CROW,14
BIBI,DARRYL,19
BIBI,DOUG,15
BIBI,DRACO,2
BIBI,DYNAMIKE,40
BIBI,EDGAR,67
BIBI,EL PRIMO,34
BIBI,EMZ,27
BIBI,EVE,2
BIBI,FANG,37
BIBI,FINX,5
BIBI,FRANK,30
BIBI,GALE,9
BIBI,GENE,17
BIBI,GRAY,2
BIBI,GRIFF,24
BIBI,GROM,18
BIBI,GUS,4
BIBI,HANK,14
BIBI,JACKY,13
BIBI,JAE-YONG,6
BIBI,JANET,3
BIBI,JESSIE,12
BIBI,JUJU,4
BIBI,KAZE,11
BIBI,KENJI,7
BIBI,KIT,12
BIBI,LARRY & LAWRIE,3
BIBI,LEON,11
BIBI,LILY,19
BIBI,LOLA,8
BIBI,LOU,2
BIBI,LUMI,7
BIBI,MAISIE,4
BIBI,MANDY,26
BIBI,MAX,17
BIBI,MEEPLE,6
BIBI,MEG,9
BIBI,MELODIE,3
BIBI,MICO,7
BIBI,MOE,3
BIBI,MORTIS,65
BIBI,MR. P,14
BIBI,NANI,13
BIBI,NITA,21
BIBI,OLLIE,2
BIBI,OTIS,3
BIBI,PAM,12
BIBI,PEARL,10
BIBI,PENNY,12
BIBI,PIPER,19
BIBI,POCO,21
BIBI,R-T,9
BIBI,RICO,30
BIBI,ROSA,6
BIBI,RUFFS,4
BIBI,SAM,3
BIBI,SANDY,10
BIBI,SHADE,19
BIBI,SHELLY,27
BIBI,SPIKE,26
BIBI,SPROUT,5
BIBI,SQUEAK,14
BIBI,STU,24
BIBI,SURGE,11
BIBI,TARA,15
BIBI,TICK,31
BIBI,WILLOW,5
BO,BO,2
BO,BONNIE,14
BO,BROCK,86
BO,BULL,28
BO,BUSTER,10
BO,BUZZ,16
BO,BYRON,25
BO,CARL,45
BO,CHARLIE,7
BO,CHESTER,14
BO,CHUCK,11
BO,CLANCY,9
BO,COLETTE,29
BO,COLT,53
BO,CORDELIUS,21
BO,CROW,37
BO,DARRYL,35
BO,DOUG,28
BO,DRACO,18
BO,DYNAMIKE,73
BO,EDGAR,147
BO,EL PRIMO,61
BO,EMZ,66
BO,EVE,9
BO,FANG,80
BO,FINX,11
BO,FRANK,44
BO,GALE,18
BO,GENE,11
BO,GRAY,13
BO,GRIFF,48
BO,GROM,47
BO,GUS,38
BO,HANK,11
BO,JACKY,44
BO,JAE-YONG,7
BO,JANET,8
BO,JESSIE,63
BO,JUJU,4
BO,KAZE,19
BO,KENJI,35
BO,KIT,29
BO,LARRY & LAWRIE,14
BO,LEON,19
BO,LILY,28
BO,LOLA,10
BO,LOU,9
BO,LUMI,11
BO,MAISIE,10
BO,MANDY,61
BO,MAX,23
BO,MEEPLE,7
BO,MEG,12
BO,MELODIE,8
BO,MICO,6
BO,MOE,5
BO,MORTIS,88
BO,MR. P,13
BO,NANI,15
BO,NITA,47
BO,OLLIE,7
BO,OTIS,7
BO,PAM,14
BO,PEARL,7
BO,PENNY,47
BO,PIPER,69
BO,POCO,45
BO,R-T,11
BO,RICO,50
BO,ROSA,12
BO,RUFFS,6
BO,SAM,6
BO,SANDY,28
BO,SHADE,24
BO,SHELLY,43
BO,SPIKE,47
BO,SPROUT,10
BO,SQUEAK,58
BO,STU,28
BO,SURGE,24
BO,TARA,25
BO,TICK,103
BO,WILLOW,3
BONNIE,BROCK,21
BONNIE,BULL,12
BONNIE,BUSTER,3
BONNIE,BUZZ,5
BONNIE,BYRON,13
BONNIE,CARL,23
BONNIE,CHARLIE,7
BONNIE,CHESTER,7
BONNIE,CHUCK,6
BONNIE,CLANCY,5
BONNIE,COLETTE,14
BONNIE,COLT,24
BONNIE,CORDELIUS,4
BONNIE,CROW,9
BONNIE,DARRYL,17
BONNIE,DOUG,7
BONNIE,DRACO,5
BONNIE,DYNAMIKE,10
BONNIE,EDGAR,37
BONNIE,EL PRIMO,16
BONNIE,EMZ,18
BONNIE,FANG,19
BONNIE,FINX,3
BONNIE,FRANK,21
BONNIE,GALE,10
BONNIE,GENE,13
BONNIE,GRAY,7
BONNIE,GRIFF,18
BONNIE,GROM,17
BONNIE,GUS,14
BONNIE,HANK,11
BONNIE,JACKY,4
BONNIE,JAE-YONG,6
BONNIE,JANET,7
BONNIE,JESSIE,12
BONNIE,JUJU,2
BONNIE,KAZE,8
BONNIE,KENJI,8
BONNIE,KIT,7
BONNIE,LARRY & LAWRIE,5
BONNIE,LEON,17
BONNIE,LILY,13
BONNIE,LOLA,4
BONNIE,LOU,2
BONNIE,LUMI,2
BONNIE,MAISIE,4
BONNIE,MANDY,31
BONNIE,MAX,8
BONNIE,MEEPLE,3
BONNIE,MEG,3
BONNIE,MELODIE,3
BONNIE,MICO,5
BONNIE,MOE,3
BONNIE,MORTIS,20
BONNIE,MR. P,12
BONNIE,NANI,13
BONNIE,NITA,19
BONNIE,OLLIE,2
BONNIE,OTIS,1
BONNIE,PAM,12
BONNIE,PEARL,1
BONNIE,PENNY,6
BONNIE,PIPER,22
BONNIE,POCO,12
BONNIE,R-T,6
BONNIE,RICO,16
BONNIE,ROSA,3
BONNIE,RUFFS,3
BONNIE,SAM,5
BONNIE,SANDY,5
BONNIE,SHADE,10
BONNIE,SHELLY,19
BONNIE,SPIKE,12
BONNIE,SPROUT,7
BONNIE,SQUEAK,11
BONNIE,STU,13
BONNIE,SURGE,8
BONNIE,TARA,15
BONNIE,TICK,14
BROCK,BROCK,2
BROCK,BULL,43
BROCK,BUSTER,3
BROCK,BUZZ,22
BROCK,BYRON,29
BROCK,CARL,55
BROCK,CHARLIE,10
BROCK,CHESTER,13
BROCK,CHUCK,21
BROCK,CLANCY,8
BROCK,COLETTE,39
BROCK,COLT,71
BROCK,CORDELIUS,16
BROCK,CROW,37
BROCK,DARRYL,26
BROCK,DOUG,30
BROCK,DRACO,14
BROCK,DYNAMIKE,84
BROCK,EDGAR,170
BROCK,EL PRIMO,62
BROCK,EMZ,65
BROCK,EVE,6
BROCK,FANG,87
BROCK,FINX,8
BROCK,FRANK,54
BROCK,GALE,17
BROCK,GENE,20
BROCK,GRAY,18
BROCK,GRIFF,48
BROCK,GROM,47
BROCK,GUS,55
BROCK,HANK,14
BROCK,JACKY,41
BROCK,JAE-YONG,5
BROCK,JANET,13
BROCK,JESSIE,63
BROCK,JUJU,9
BROCK,KAZE,21
BROCK,KENJI,17
BROCK,KIT,24
BROCK,LARRY & LAWRIE,6
BROCK,LEON,34
BROCK,LILY,47
BROCK,LOLA,10
BROCK,LOU,9
BROCK,LUMI,16
BROCK,MAISIE,15
BROCK,MANDY,87
BROCK,MAX,28
BROCK,MEEPLE,9
BROCK,MEG,8
BROCK,MELODIE,12
BROCK,MICO,13
BROCK,MOE,5
BROCK,MORTIS,95
BROCK,MR. P,25
BROCK,NANI,23
BROCK,NITA,50
BROCK,OLLIE,3
BROCK,OTIS,2
BROCK,PAM,20
BROCK,PEARL,13
BROCK,PENNY,52
BROCK,PIPER,89
BROCK,POCO,64
BROCK,R-T,7
BROCK,RICO,66
BROCK,ROSA,14
BROCK,RUFFS,5
BROCK,SAM,6
BROCK,SANDY,24
BROCK,SHADE,19
BROCK,SHELLY,46
BROCK,SPIKE,59
BROCK,SPROUT,20
BROCK,SQUEAK,56
BROCK,STU,36
BROCK,SURGE,14
